ID_Carga,Placa_Caminhao,Estufa_Origem,UF_Destino,Qtd_Orquideas,Status_Entrega
LOG-1037,TX-103,EST-2,SP,82,Entregue
LOG-1038,TX-112,EST-2,MG,225,Entregue
LOG-1039,TX-102,EST-3,RJ,492,Entregue
LOG-1040,TX-109,EST-1,SP,420,Entregue
LOG-1041,TX-111,EST-1,RJ,424,Entregue
LOG-1042,TX-106,EST-2,SP,71,Entregue
LOG-1043,TX-102,EST-1,SC,287,Cancelado
LOG-1044,TX-101,EST-2,SP,207,Entregue
LOG-1045,TX-107,EST-1,MG,87,Entregue
LOG-1046,TX-109,EST-3,SP,279,Entregue
LOG-1047,TX-102,EST-1,RJ,414,Entregue
LOG-1048,TX-107,EST-1,RJ,100,Entregue
LOG-1049,TX-103,EST-2,SP,487,Cancelado
LOG-1050,TX-112,EST-1,SC,313,Entregue
LOG-1051,TX-108,EST-1,PR,332,Cancelado
LOG-1052,TX-114,EST-2,SC,76,Cancelado
LOG-1053,TX-111,EST-3,PR,275,Entregue
LOG-1054,TX-105,EST-3,RJ,326,Entregue
LOG-1055,TX-111,EST-2,SC,335,Entregue
LOG-1056,TX-111,EST-2,SP,146,Entregue
LOG-1057,TX-106,EST-2,SP,333,Entregue
LOG-1058,TX-108,EST-2,SP,416,Entregue
LOG-1059,TX-102,EST-2,SP,497,Entregue
LOG-1060,TX-105,EST-3,SP,366,Entregue
LOG-1061,TX-107,EST-3,SP,353,Atrasado
LOG-1062,TX-105,EST-2,PR,196,Entregue
LOG-1063,TX-114,EST-1,SP,53,Atrasado
LOG-1064,TX-112,EST-2,SP,84,Entregue
LOG-1065,TX-108,EST-1,RJ,241,Entregue
LOG-1066,TX-107,EST-2,SP,98,Entregue
LOG-1067,TX-110,EST-2,PR,66,Entregue
LOG-1068,TX-101,EST-3,SP,221,Atrasado
LOG-1069,TX-107,EST-1,SC,269,Entregue
LOG-1070,TX-101,EST-1,PR,207,Atrasado
LOG-1071,TX-110,EST-3,SP,95,Entregue
LOG-1072,TX-112,EST-3,SP,422,Entregue
LOG-1073,TX-108,EST-3,PR,55,Atrasado
LOG-1074,TX-102,EST-3,MG,148,Atrasado
LOG-1075,TX-106,EST-1,MG,429,Cancelado
LOG-1076,TX-110,EST-1,PR,282,Entregue
LOG-1077,TX-106,EST-2,SP,86,Entregue
LOG-1078,TX-115,EST-2,SP,329,Atrasado
LOG-1079,TX-112,EST-3,SP,398,Entregue
LOG-1080,TX-114,EST-3,PR,351,Cancelado
LOG-1081,TX-104,EST-3,MG,230,Atrasado
LOG-1082,TX-108,EST-2,SP,144,Entregue
LOG-1083,TX-104,EST-2,SP,148,Atrasado
LOG-1084,TX-107,EST-2,SP,237,Atrasado
LOG-1085,TX-108,EST-2,SP,165,Entregue
LOG-1086,TX-113,EST-2,MG,240,Cancelado
LOG-1087,TX-112,EST-2,MG,302,Entregue
LOG-1088,TX-111,EST-2,PR,465,Atrasado
LOG-1089,TX-107,EST-3,RJ,210,Entregue
LOG-1090,TX-104,EST-3,SP,305,Atrasado
LOG-1091,TX-115,EST-3,MG,372,Entregue
LOG-1092,TX-102,EST-3,PR,177,Entregue
LOG-1093,TX-101,EST-2,RJ,67,Cancelado
LOG-1094,TX-103,EST-1,PR,330,Entregue
LOG-1095,TX-104,EST-2,RJ,272,Entregue
LOG-1096,TX-105,EST-1,RJ,103,Cancelado
LOG-1097,TX-113,EST-3,RJ,107,Cancelado
LOG-1098,TX-102,EST-2,SP,372,Entregue
LOG-1099,TX-112,EST-3,SP,409,Entregue
LOG-1100,TX-112,EST-2,SP,223,Entregue
LOG-1101,TX-114,EST-3,MG,329,Entregue
LOG-1102,TX-108,EST-1,SP,163,Entregue
LOG-1103,TX-100,EST-1,RJ,337,Entregue
LOG-1104,TX-103,EST-1,SC,480,Atrasado
LOG-1105,TX-108,EST-2,SP,391,Atrasado
LOG-1106,TX-110,EST-1,RJ,200,Atrasado
LOG-1107,TX-103,EST-2,PR,499,Entregue
LOG-1108,TX-109,EST-1,SP,176,Entregue
LOG-1109,TX-113,EST-1,SP,204,Entregue
LOG-1110,TX-105,EST-2,SP,435,Entregue
LOG-1111,TX-114,EST-2,SP,322,Entregue
LOG-1112,TX-100,EST-1,SC,153,Atrasado
LOG-1113,TX-108,EST-2,PR,466,Entregue
LOG-1114,TX-105,EST-1,MG,442,Entregue
LOG-1115,TX-103,EST-2,PR,348,Entregue
LOG-1116,TX-109,EST-3,PR,295,Atrasado
LOG-1117,TX-106,EST-3,SP,225,Entregue
LOG-1118,TX-104,EST-3,PR,88,Entregue
LOG-1119,TX-111,EST-3,RJ,219,Entregue
LOG-1120,TX-105,EST-3,PR,296,Entregue
LOG-1121,TX-100,EST-1,PR,75,Entregue
LOG-1122,TX-110,EST-3,SP,404,Atrasado
LOG-1123,TX-115,EST-3,SP,355,Entregue
LOG-1124,TX-100,EST-3,SP,458,Entregue
LOG-1125,TX-103,EST-3,RJ,457,Entregue
LOG-1126,TX-111,EST-2,PR,62,Cancelado
LOG-1127,TX-109,EST-1,PR,365,Entregue
LOG-1128,TX-107,EST-3,SP,440,Entregue
LOG-1129,TX-101,EST-3,RJ,362,Atrasado
LOG-1130,TX-107,EST-3,RJ,85,Cancelado
LOG-1131,TX-102,EST-1,SP,222,Cancelado
LOG-1132,TX-102,EST-2,SP,69,Atrasado
LOG-1133,TX-115,EST-1,SP,370,Entregue
LOG-1134,TX-102,EST-2,SC,313,Entregue
LOG-1135,TX-104,EST-3,SP,449,Atrasado
LOG-1136,TX-104,EST-3,RJ,191,Entregue
LOG-1137,TX-115,EST-1,MG,420,Entregue
LOG-1138,TX-105,EST-1,SP,192,Cancelado
LOG-1139,TX-108,EST-2,SC,141,Entregue
LOG-1140,TX-113,EST-2,SC,403,Entregue
LOG-1141,TX-106,EST-1,SP,371,Entregue
LOG-1142,TX-106,EST-2,RJ,337,Entregue
LOG-1143,TX-109,EST-1,SP,264,Entregue
LOG-1144,TX-112,EST-2,SP,496,Entregue
LOG-1145,TX-111,EST-1,SP,391,Entregue
LOG-1146,TX-114,EST-1,MG,100,Entregue
LOG-1147,TX-114,EST-1,RJ,202,Entregue
LOG-1148,TX-103,EST-2,SP,235,Entregue
LOG-1149,TX-107,EST-2,SP,112,Cancelado
LOG-1150,TX-107,EST-2,SC,239,Entregue
LOG-1151,TX-102,EST-1,SP,174,Entregue
LOG-1152,TX-110,EST-2,SP,199,Atrasado
LOG-1153,TX-100,EST-2,RJ,363,Entregue
LOG-1154,TX-107,EST-1,SC,107,Cancelado
LOG-1155,TX-107,EST-3,SP,391,Entregue
LOG-1156,TX-100,EST-1,MG,354,Cancelado
LOG-1157,TX-102,EST-2,PR,229,Entregue
LOG-1158,TX-101,EST-1,SP,219,Atrasado
LOG-1159,TX-107,EST-3,MG,375,Entregue
LOG-1160,TX-102,EST-1,SP,320,Cancelado
LOG-1161,TX-101,EST-2,MG,103,Entregue
LOG-1162,TX-110,EST-3,MG,493,Entregue
LOG-1163,TX-102,EST-2,RJ,150,Cancelado
LOG-1164,TX-107,EST-3,SP,313,Entregue
LOG-1165,TX-108,EST-3,PR,102,Entregue
LOG-1166,TX-115,EST-1,SP,109,Entregue
LOG-1167,TX-106,EST-1,SP,157,Entregue
LOG-1168,TX-104,EST-2,SP,54,Entregue
LOG-1169,TX-115,EST-1,RJ,152,Entregue
LOG-1170,TX-107,EST-1,MG,245,Cancelado
LOG-1171,TX-115,EST-3,SP,311,Entregue
LOG-1172,TX-113,EST-1,RJ,414,Entregue
LOG-1173,TX-106,EST-3,SP,421,Cancelado
LOG-1174,TX-103,EST-3,MG,399,Atrasado
LOG-1175,TX-103,EST-3,SP,96,Entregue
LOG-1176,TX-113,EST-2,MG,404,Entregue
LOG-1177,TX-111,EST-2,SP,360,Entregue
LOG-1178,TX-113,EST-2,SC,473,Entregue
LOG-1179,TX-113,EST-3,SP,357,Entregue
LOG-1180,TX-114,EST-2,SP,193,Entregue
LOG-1181,TX-101,EST-2,SP,318,Entregue
LOG-1182,TX-103,EST-1,SC,419,Entregue
LOG-1183,TX-101,EST-2,PR,173,Cancelado
LOG-1184,TX-112,EST-2,SP,155,Cancelado
LOG-1185,TX-110,EST-3,MG,207,Entregue
LOG-1186,TX-103,EST-3,PR,196,Entregue
LOG-1187,TX-107,EST-3,RJ,194,Entregue
LOG-1188,TX-106,EST-3,RJ,169,Atrasado
LOG-1189,TX-106,EST-3,SP,368,Entregue
LOG-1190,TX-114,EST-3,SP,324,Entregue
LOG-1191,TX-104,EST-2,PR,141,Cancelado
LOG-1192,TX-113,EST-3,SC,107,Atrasado
LOG-1193,TX-105,EST-3,MG,488,Cancelado
LOG-1194,TX-108,EST-1,SP,395,Entregue
LOG-1195,TX-114,EST-2,SP,278,Entregue
LOG-1196,TX-107,EST-2,MG,166,Entregue
LOG-1197,TX-102,EST-2,PR,367,Cancelado
LOG-1198,TX-114,EST-3,PR,328,Atrasado
LOG-1199,TX-103,EST-3,PR,176,Entregue
